prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
12	E. coli	respiratory	1401	1411	1755	0	3	59	1	1	2	0	0	0
12	E. coli	urine	1401	1411	5435	0	1	265	0	4	6	0	0	0
12	E. coli	stool	1401	1411	1774	0	10	4	6	2	9	0	0	0
12	E. coli	blood	1401	1411	1010	0	0	23	0	1	1	0	0	0
12	E. coli	spinal	1401	1411	4	0	0	0	0	0	0	0	0	0
3	E. coli	respiratory	1401	1411	380	0	0	0	0	0	0	0	0	0
3	E. coli	urine	1401	1411	1255	1	0	0	0	1	0	0	0	0
3	E. coli	stool	1401	1411	545	0	0	0	0	0	0	0	0	0
3	E. coli	blood	1401	1411	221	0	0	0	0	0	0	0	0	0
3	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	571	0	0	0	0	0	0	0	0	0
16	E. coli	urine	1401	1411	1277	0	1	0	0	1	1	0	0	0
16	E. coli	stool	1401	1411	69	0	0	0	0	0	2	0	0	0
16	E. coli	blood	1401	1411	174	0	0	0	0	0	0	0	0	0
16	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	467	0	1	10	1	2	8	0	0	0
24	E. coli	urine	1401	1411	1399	1	0	104	0	0	6	0	0	0
24	E. coli	stool	1401	1411	567	0	0	9	0	0	2	0	0	0
24	E. coli	blood	1401	1411	155	0	0	18	0	0	2	0	0	0
24	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	414	0	0	4	0	0	1	0	0	0
2	E. coli	urine	1401	1411	1583	0	0	18	0	0	6	0	0	0
2	E. coli	stool	1401	1411	34	0	0	6	0	0	0	0	0	0
2	E. coli	blood	1401	1411	224	0	0	0	0	0	2	0	0	0
2	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	351	0	0	0	0	0	1	0	0	0
45	E. coli	urine	1401	1411	901	0	1	0	0	0	1	0	0	0
45	E. coli	stool	1401	1411	60	0	0	0	0	0	0	0	0	0
45	E. coli	blood	1401	1411	160	0	1	0	0	0	1	0	0	0
45	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	463	0	0	0	0	1	0	0	0	0
8	E. coli	urine	1401	1411	1094	0	1	0	0	0	0	0	0	0
8	E. coli	stool	1401	1411	277	0	0	0	1	1	1	0	0	0
8	E. coli	blood	1401	1411	110	0	0	0	0	0	0	0	0	0
8	E. coli	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
14	E. coli	respiratory	1401	1411	603	0	0	3	0	0	0	0	0	0
14	E. coli	urine	1401	1411	1631	0	0	11	0	1	2	0	0	0
14	E. coli	stool	1401	1411	136	0	0	0	0	0	0	0	0	0
14	E. coli	blood	1401	1411	320	0	0	2	0	0	0	0	0	0
14	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	325	0	0	0	1	1	1	0	0	0
39	E. coli	urine	1401	1411	1185	0	0	0	0	1	1	0	0	0
39	E. coli	stool	1401	1411	144	0	0	0	1	0	2	0	0	0
39	E. coli	blood	1401	1411	248	0	0	0	0	1	1	0	0	0
39	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	772	0	0	1	0	2	1	0	0	0
10	E. coli	urine	1401	1411	1622	0	0	0	0	0	0	0	0	0
10	E. coli	stool	1401	1411	343	0	0	0	0	0	0	0	0	0
10	E. coli	blood	1401	1411	214	0	0	0	0	2	0	0	0	0
10	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
35	E. coli	respiratory	1401	1411	851	0	0	8	0	0	2	0	0	0
35	E. coli	urine	1401	1411	2863	0	2	21	0	1	7	0	0	0
35	E. coli	stool	1401	1411	412	0	1	1	0	0	1	0	0	0
35	E. coli	blood	1401	1411	559	1	0	3	0	0	2	0	0	0
35	E. coli	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
4	E. coli	respiratory	1401	1411	954	0	0	0	0	0	1	0	0	0
4	E. coli	urine	1401	1411	3729	0	2	4	1	0	8	0	0	0
4	E. coli	stool	1401	1411	431	0	0	3	0	0	0	0	0	0
4	E. coli	blood	1401	1411	485	0	0	0	1	0	0	0	0	0
4	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
41	E. coli	respiratory	1401	1411	3471	0	0	0	2	2	5	0	0	0
41	E. coli	urine	1401	1411	11495	1	2	0	0	0	11	0	0	0
41	E. coli	stool	1401	1411	2833	1	6	0	1	0	13	0	0	0
41	E. coli	blood	1401	1411	1953	0	1	0	0	2	0	0	0	0
41	E. coli	spinal	1401	1411	5	0	0	0	0	0	0	0	0	0
19	E. coli	respiratory	1401	1411	2124	1	2	0	0	1	4	0	0	0
19	E. coli	urine	1401	1411	6804	0	2	0	1	4	8	0	0	0
19	E. coli	stool	1401	1411	1294	0	3	0	0	0	4	0	0	0
19	E. coli	blood	1401	1411	1100	0	0	3	1	1	2	0	0	0
19	E. coli	spinal	1401	1411	6	0	0	0	0	0	0	0	0	0
29	E. coli	respiratory	1401	1411	558	0	1	0	1	1	3	0	0	0
29	E. coli	urine	1401	1411	1986	0	1	0	0	2	2	0	0	0
29	E. coli	stool	1401	1411	247	0	0	0	0	0	0	0	0	0
29	E. coli	blood	1401	1411	376	0	1	0	0	0	0	0	0	0
29	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
43	E. coli	respiratory	1401	1411	240	0	0	0	0	0	0	0	0	0
43	E. coli	urine	1401	1411	955	0	0	0	0	0	2	0	0	0
43	E. coli	stool	1401	1411	118	0	0	0	0	0	0	0	0	0
43	E. coli	blood	1401	1411	256	0	0	0	0	1	0	0	0	0
43	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
15	E. coli	respiratory	1401	1411	511	0	0	0	0	0	19	0	0	0
15	E. coli	urine	1401	1411	1983	0	0	0	2	2	203	0	0	0
15	E. coli	stool	1401	1411	188	0	1	0	0	0	0	0	0	0
15	E. coli	blood	1401	1411	396	0	0	0	1	0	18	0	0	0
15	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
6	E. coli	respiratory	1401	1411	136	0	0	0	0	0	0	0	0	0
6	E. coli	urine	1401	1411	857	0	0	0	0	0	1	0	0	0
6	E. coli	stool	1401	1411	60	0	0	0	0	0	0	0	0	0
6	E. coli	blood	1401	1411	139	0	0	0	0	0	0	0	0	0
6	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	181	0	0	0	0	0	0	0	0	0
47	E. coli	urine	1401	1411	530	0	1	0	0	0	0	0	0	0
47	E. coli	stool	1401	1411	59	0	0	0	0	0	0	0	0	0
47	E. coli	blood	1401	1411	57	0	0	0	0	0	0	0	0	0
47	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	724	0	0	10	0	0	0	0	0	0
26	E. coli	urine	1401	1411	3169	0	0	16	0	2	1	0	0	0
26	E. coli	stool	1401	1411	455	0	0	0	0	0	0	0	0	0
26	E. coli	blood	1401	1411	395	0	0	0	0	0	0	0	0	0
