prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1266	3	0	1	0	0	1	811	881
12	E. coli	urine	1401	1411	1266	1	0	2	2	0	0	2178	3050
12	E. coli	stool	1401	1411	1266	7	3	0	2	3	3	593	1127
12	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	393	580
12	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	3
3	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	152	204
3	E. coli	urine	1401	1411	1266	0	0	1	0	0	0	423	742
3	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	214	314
3	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	82	128
3	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	215	327
16	E. coli	urine	1401	1411	1266	1	0	0	1	0	0	426	813
16	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	37	31
16	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	41	132
16	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	1266	0	0	1	1	1	0	194	249
24	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	596	753
24	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	213	310
24	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	60	90
24	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	196	213
2	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	649	916
2	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	16	14
2	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	71	148
2	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	159	173
45	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	292	574
45	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	14	40
45	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	55	94
45	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	1266	0	0	1	0	0	0	217	226
8	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	470	603
8	E. coli	stool	1401	1411	1266	0	0	0	1	1	0	100	166
8	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	45	63
8	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	2
14	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	306	213
14	E. coli	urine	1401	1411	1266	0	0	1	0	0	0	668	885
14	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	44	68
14	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	112	191
14	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	1266	0	0	1	0	1	0	180	141
39	E. coli	urine	1401	1411	1266	0	0	1	0	0	0	432	728
39	E. coli	stool	1401	1411	1266	0	0	0	0	1	0	71	72
39	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	84	155
39	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	1266	0	0	2	0	0	0	446	311
10	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	724	865
10	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	124	207
10	E. coli	blood	1401	1411	1266	0	0	0	2	0	0	75	130
10	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	0
35	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	459	376
35	E. coli	urine	1401	1411	1266	2	0	0	1	0	0	1237	1555
35	E. coli	stool	1401	1411	1266	1	0	0	0	0	0	156	247
35	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	233	298
35	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	1
4	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	432	428
4	E. coli	urine	1401	1411	1266	1	0	0	0	1	0	1583	1816
4	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	166	246
4	E. coli	blood	1401	1411	1266	0	0	0	0	1	0	129	273
4	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
41	E. coli	respiratory	1401	1411	1266	0	0	1	1	2	0	1758	1511
41	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	4769	5979
41	E. coli	stool	1401	1411	1266	6	0	0	0	1	0	1581	1140
41	E. coli	blood	1401	1411	1266	1	0	1	1	0	0	783	1006
41	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	2	1
19	E. coli	respiratory	1401	1411	1266	2	0	1	0	0	0	1007	977
19	E. coli	urine	1401	1411	1266	2	0	1	3	1	0	2893	3523
19	E. coli	stool	1401	1411	1266	3	0	0	0	0	0	513	710
19	E. coli	blood	1401	1411	1266	0	0	1	0	1	0	432	590
19	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	3	3
29	E. coli	respiratory	1401	1411	1266	0	1	1	0	1	0	260	233
29	E. coli	urine	1401	1411	1266	1	0	0	1	0	0	793	1032
29	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	87	147
29	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	129	217
29	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
43	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	138	91
