prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1816	0	2	0	1	0	1	1	1730
12	E. coli	urine	1401	1411	1816	0	1	0	4	0	0	0	5322
12	E. coli	stool	1401	1411	1816	1	9	0	2	0	6	2	1757
12	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	1	1000
12	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	4
3	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	380
3	E. coli	urine	1401	1411	1816	0	0	0	1	0	0	3	1251
3	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	544
3	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	220
3	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	571
16	E. coli	urine	1401	1411	1816	0	1	0	1	0	0	1	1276
16	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	68
16	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	174
16	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	1816	0	1	0	2	0	1	1	461
24	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	2	1365
24	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	565
24	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	153
24	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	413
2	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	1	1581
2	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	34
2	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	224
2	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	350
45	E. coli	urine	1401	1411	1816	0	1	0	0	0	0	1	898
45	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	60
45	E. coli	blood	1401	1411	1816	0	1	0	0	0	0	1	159
45	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	1816	0	0	0	1	0	0	2	460
8	E. coli	urine	1401	1411	1816	0	1	0	0	0	0	1	1088
8	E. coli	stool	1401	1411	1816	0	0	0	1	0	1	0	277
8	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	110
8	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	3
14	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	603
14	E. coli	urine	1401	1411	1816	0	0	0	1	0	0	2	1622
14	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	136
14	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	318
14	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	1816	0	0	0	1	0	1	0	324
