prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1661	0	0	0	2	0	1	214	1675
12	E. coli	urine	1401	1411	1661	1	0	0	3	0	0	608	5628
12	E. coli	stool	1401	1411	1661	0	0	0	0	5	0	174	1589
12	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	113	878
12	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	6
3	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	33	346
3	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	112	1301
3	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	40	458
3	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	17	172
3	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
16	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	106	393
16	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	156	1033
16	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	7	66
16	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	18	190
16	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
24	E. coli	respiratory	1401	1411	1661	1	0	0	1	0	0	72	535
24	E. coli	urine	1401	1411	1661	0	0	0	0	2	0	170	2004
24	E. coli	stool	1401	1411	1661	0	0	0	0	1	0	63	680
24	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	17	229
24	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
2	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	32	361
2	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	131	1737
2	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	3	24
2	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	16	228
2	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	29	413
45	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	105	1213
45	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	3	62
