prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	1263
12	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	6	4080
12	E. coli	stool	1401	1411	2601	0	0	0	0	0	4	2	929
12	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	4	605
12	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
3	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	325
3	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	1304
3	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	344
3	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	153
3	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
16	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	361
16	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	965
16	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	70
16	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	187
16	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
24	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	0	0	420
24	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	3	1391
24	E. coli	stool	1401	1411	2601	0	0	0	0	0	1	0	528
24	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	175
24	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
2	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	216
2	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	10	1144
2	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	9
2	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	179
2	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	5	361
45	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	17	872
45	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	64
45	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	122
45	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
8	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	206
8	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	1	582
8	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	80
8	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	95
8	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
14	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	578
14	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	10	1976
14	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	133
14	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	386
14	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
39	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	188
39	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	0	840
39	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	27
39	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	147
39	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	2601	0	1	0	1	0	0	1	547
10	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	1485
10	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	267
10	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	203
10	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
35	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	0	2	611
35	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	3	2192
35	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	252
35	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	409
35	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
4	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	1	10	541
4	E. coli	urine	1401	1411	2601	0	1	0	0	0	1	21	2707
4	E. coli	stool	1401	1411	2601	0	2	0	0	0	1	5	221
4	E. coli	blood	1401	1411	2601	0	7	0	0	0	0	7	282
4	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
41	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	0	4	2810
41	E. coli	urine	1401	1411	2601	0	0	0	2	0	1	12	8835
41	E. coli	stool	1401	1411	2601	0	4	0	1	0	4	2	1999
41	E. coli	blood	1401	1411	2601	0	2	0	0	0	2	3	1504
41	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
19	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	1612
19	E. coli	urine	1401	1411	2601	0	2	0	2	0	0	16	4970
19	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	2	902
19	E. coli	blood	1401	1411	2601	0	1	0	0	0	0	1	832
19	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	4
29	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	305
